"intBiotaAssociateID","intBiotaID","tintAssocType","intAssocBiotaID","vchrAssocBiotaText","vchrRelationForward","vchrRelationReverse","intRefID","vchrRefPage","bitUncertain","txtNotes","GUID"
"1186","81683","0","57061","","is a synonym of","has synonym","","","False","","{D1E9BDCC-5037-4FF9-B062-8937FBD4EB99}"
"1191","57061","0","81687","","has synonym","is a synonym of","","","False","","{D66CE96F-BA28-47E1-AE87-144BC04B047D}"
"1192","81687","0","57061","","is a synonym of","has synonym","","","False","","{2B0C3E96-720E-4D69-BF2C-7A63138F637E}"
"1193","57061","0","81689","","has synonym","is a synonym of","","","False","","{CC61021B-A7FA-4617-ADAB-BF333C775DFF}"
"1194","81689","0","57061","","is a synonym of","has synonym","","","False","","{44C995A9-D6BB-4E7C-9D88-B621A08AF1A6}"
"1200","57070","0","57063","","is a synonym of","has synonym","","","False","","{F81F9951-7E9B-4DE1-9550-0117E534B0AA}"
"1201","57063","0","65679","","has synonym","is a synonym of","","","False","","{FB83D459-586B-43ED-AFE6-6080ECFA2901}"
"1202","65679","0","57063","","is a synonym of","has synonym","","","False","","{087DC6FA-73C4-4D87-812F-E3D773339FF4}"
"1203","57063","0","81692","","has synonym","is a synonym of","","","False","","{2B8F6B10-E7ED-4564-994D-0653D085042B}"
"1208","81694","0","57063","","is a synonym of","has synonym","","","False","","{76D43B58-47F8-4865-B0AD-3A650517CC41}"
"1209","57063","0","81695","","has synonym","is a synonym of","","","False","","{D4480B65-57EA-4C1E-AA3B-11FBB31090C9}"
"1210","81695","0","57063","","is a synonym of","has synonym","","","False","","{0083BEE7-6E8E-40B0-976D-81206FA3A151}"
"1211","57063","0","81696","","has synonym","is a synonym of","","","False","","{81195A2C-4EEE-45A4-8946-2A4C9F821284}"
"1216","81700","0","57063","","is a synonym of","has synonym","","","False","","{59BF18FA-E728-4379-868A-07319E96AD24}"
"1217","57063","0","81707","","has synonym","is a synonym of","","","False","","{1EE0069B-B6D5-4282-8F38-BE0843658CCE}"
"1218","81707","0","57063","","is a synonym of","has synonym","","","False","","{D290FAFD-05B8-4C69-86E6-7EABB4365982}"
"1219","57063","0","81708","","has synonym","is a synonym of","","","False","","{E60FA62B-526B-4FF8-9AF5-D55CC8824EF7}"
"1225","57063","0","81711","","has synonym","is a synonym of","","","False","","{D25A80A0-E354-435A-87F9-E890CCD91DB0}"
"1226","81711","0","57063","","is a synonym of","has synonym","","","False","","{AC810B37-5AFD-419D-BEF8-592F17489B10}"
"1227","57063","0","81713","","has synonym","is a synonym of","","","False","","{8B8C6197-3490-43E0-94CD-E46F67C55232}"
"1228","81713","0","57063","","is a synonym of","has synonym","","","False","","{0E45622D-5E1E-4B00-925A-970CF6CE0BA4}"
"1233","57063","0","81716","","has synonym","is a synonym of","","","False","","{040C9EF4-7D66-4EE4-8F63-7FE2A87537C8}"
"1234","81716","0","57063","","is a synonym of","has synonym","","","False","","{C38F669D-2545-4E69-8FDB-D305B999648A}"
"1235","57063","0","81717","","has synonym","is a synonym of","","","False","","{F6135193-323F-485A-AB24-0FF4BD1FD64E}"
"1236","81717","0","57063","","is a synonym of","has synonym","","","False","","{180F28B0-6443-4E2C-8804-06D133E71D3B}"
"1241","57063","0","81720","","has synonym","is a synonym of","","","False","","{0A13AB97-6B79-45CB-AAFC-1F9E628A5A32}"
"1242","81720","0","57063","","is a synonym of","has synonym","","","False","","{55951BC9-EF5C-4B27-8D23-416A7AF77743}"
"1243","57063","0","81721","","has synonym","is a synonym of","","","False","","{EEFEBBFD-4315-4C6B-9BB2-05DB96E8A193}"
"1244","81721","0","57063","","is a synonym of","has synonym","","","False","","{28720AEC-327C-40AB-BA2B-53C89BA32CD0}"
"1245","57063","0","81722","","has synonym","is a synonym of","","","False","","{5CB64108-5B2D-4E73-B163-D9AE41291813}"
"1250","81724","0","57063","","is a synonym of","has synonym","","","False","","{2AD79649-ACCF-4E91-8FDC-34D8A6F905BD}"
"1251","57063","0","81744","","has synonym","is a synonym of","","","False","","{AA97ABDB-0AE8-4332-B542-54C3517F5373}"
"1252","81744","0","57063","","is a synonym of","has synonym","","","False","","{CEC53B91-A4B6-4AB4-B2AE-89DF32D0B2A6}"
"1253","57063","0","81745","","has synonym","is a synonym of","","","False","","{F795005C-5017-4D62-93A0-533FD7F8D979}"
"1258","81747","0","57063","","is a synonym of","has synonym","","","False","","{3E5A8C7E-0938-4DC0-86C3-196142F5AF7D}"
"1259","57063","0","81748","","has synonym","is a synonym of","","","False","","{5AE54010-5D8C-4C34-BEB1-501AC462798B}"
"1260","81748","0","57063","","is a synonym of","has synonym","","","False","","{F1E623B9-2B27-4711-B558-6A6CDF5683DF}"
"1261","57063","0","81749","","has synonym","is a synonym of","","","False","","{829CEEDF-9C7D-420B-89EB-0CE0611F14E5}"
"1266","81751","0","57063","","is a synonym of","has synonym","","","False","","{23AFEA08-5C91-4386-83B0-AE3DF7207E90}"
"1267","57063","0","81752","","has synonym","is a synonym of","","","False","","{A2B90877-34AE-454E-8B23-E539315DE916}"
"1268","81752","0","57063","","is a synonym of","has synonym","","","False","","{98A768CB-1D20-488B-A8D9-6D4BE121C044}"
"1269","57063","0","81753","","has synonym","is a synonym of","","","False","","{47D4CE53-7D44-444C-B934-54C21BBAA0AA}"
"1270","81753","0","57063","","is a synonym of","has synonym","","","False","","{0CE01965-EE37-4938-816D-6D5A50377547}"
"1275","57065","0","81756","","has synonym","is a synonym of","","","False","","{3A6E6D4C-D034-46A8-AA3C-844D30E12CBB}"
"1276","81756","0","57065","","is a synonym of","has synonym","","","False","","{7F874905-077A-4905-A7B9-D19CD0264E79}"
"1277","57065","0","81757","","has synonym","is a synonym of","","","False","","{3DECEDCB-5C06-474B-BE89-9BA282955D74}"
"1278","81757","0","57065","","is a synonym of","has synonym","","","False","","{53FD4B28-6CD6-4584-B12E-0508F26F0B9C}"
"1283","57065","0","81760","","has synonym","is a synonym of","","","False","","{550080C0-1085-4C9C-8580-55C8EDEBDD0A}"
"1284","81760","0","57065","","is a synonym of","has synonym","","","False","","{794D5D2E-749D-4F14-818C-726344527D7F}"
"1285","57065","0","81761","","has synonym","is a synonym of","","","False","","{A4832129-7454-4D4D-8087-E05AB8EA8AAE}"
"1286","81761","0","57065","","is a synonym of","has synonym","","","False","","{CFB7C1E8-4961-42BD-8AE8-F27D0D6887DD}"
"1291","57065","0","81764","","has synonym","is a synonym of","","","False","","{C34D9396-3FFF-4098-BED0-E0FB37E4DAF4}"
"1292","81764","0","57065","","is a synonym of","has synonym","","","False","","{8333A6E9-6A78-4399-9507-151A3F882A55}"
"1293","57065","0","81765","","has synonym","is a synonym of","","","False","","{23F27B11-DD10-4F48-8D9A-839B30BA2A83}"
"1294","81765","0","57065","","is a synonym of","has synonym","","","False","","{AAF4333E-89FB-4A75-9EBD-615BC379D751}"
"1295","57065","0","81767","","has synonym","is a synonym of","","","False","","{1718FCD8-D3F6-4D3F-8835-D4B4D1216C40}"
"1300","81769","0","57065","","is a synonym of","has synonym","","","False","","{BEA337DE-1830-4C5B-A209-D70C7221FF00}"
"1301","57070","0","81781","","has synonym","is a synonym of","","","False","","{8FD40560-64B0-4266-87C2-99BB8A7BB1B9}"
"1302","81781","0","57070","","is a synonym of","has synonym","","","False","","{941622A0-5D24-48C2-B28D-9772E840C344}"
"1303","57070","0","81782","","has synonym","is a synonym of","","","False","","{CE423FAD-A68D-489A-AC55-E830D14A76E9}"
"1308","55809","0","57072","","is a synonym of","has synonym","","","False","","{76465DB1-71CA-4665-BA13-85AEC2463E16}"
"1309","57072","0","55883","","has synonym","is a synonym of","","","False","","{A0851BC7-68A7-43CB-A22D-2B71F368F01A}"
"1310","55883","0","57072","","is a synonym of","has synonym","","","False","","{0F19FA6C-F365-4F55-86C3-5CE3053F7629}"
"1311","57072","0","55917","","has synonym","is a synonym of","","","False","","{9AF9BF26-A386-43D7-9FC0-17C57CC193C9}"
"1317","57074","0","81770","","has synonym","is a synonym of","","","False","","{260D5B38-8A2B-4404-B2B5-EE5EC35A30D2}"
